gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text,subject_type,V1
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",61,en,Gothic Fiction/Movie Books/Precursors of Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE,lcsh,"Frankenstein, Victor (Fictitious character) -- Fiction, Monsters -- Fiction, Horror tales, Science fiction, Scientists -- Fiction, Gothic fiction (Literary genre), Frankenstein's monster (Fictitious character) -- Fiction"
85,The Beasts of Tarzan,"Burroughs, Edgar Rice",48,en,Adventure/Movie Books,Public domain in the USA.,TRUE,lcsh,"Adventure stories, Tarzan (Fictitious character) -- Fiction, Jungle animals -- Fiction, Fantasy fiction"
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",53,en,Precursors of Science Fiction/Arthurian Legends,Public domain in the USA.,TRUE,lcsh,"Time travel -- Fiction, Kings and rulers -- Fiction, Britons -- Fiction, Knights and knighthood -- Fiction, Fantasy fiction, Arthurian romances -- Adaptations, Satire, Americans -- Great Britain -- Fiction"
90,The Son of Tarzan,"Burroughs, Edgar Rice",48,en,Adventure/Contemporary Reviews/Movie Books,Public domain in the USA.,TRUE,lcsh,"Tarzan (Fictitious character) -- Fiction, Adventure stories, Fantasy fiction"
91,Tom Sawyer Abroad,"Twain, Mark",53,en,NA,Public domain in the USA.,TRUE,lcsh,"Americans -- Foreign countries -- Fiction, Sawyer, Tom (Fictitious character) -- Fiction, Balloon ascensions -- Fiction, Adventure stories"
92,Tarzan and the Jewels of Opar,"Burroughs, Edgar Rice",48,en,Adventure/Movie Books,Public domain in the USA.,TRUE,lcsh,"Fantasy fiction, Adventure stories, Tarzan (Fictitious character) -- Fiction"
93,"Tom Sawyer, Detective","Twain, Mark",53,en,NA,Public domain in the USA.,TRUE,lcsh,"Sawyer, Tom (Fictitious character) -- Fiction, Mystery fiction"
94,Alexander's Bridge,"Cather, Willa",22,en,NA,Public domain in the USA.,TRUE,lcsh,"Married people -- Fiction, London (England) -- Fiction, Psychological fiction, Bridges -- Design and construction -- Fiction, Boston (Mass.) -- Fiction, Mistresses -- Fiction, Civil engineers -- Fiction"
95,The Prisoner of Zenda,"Hope, Anthony",63,en,"Best Books Ever Listings/Adventure/Bestsellers, American, 1895-1923/Movie Books",Public domain in the USA.,TRUE,lcsh,"British -- Foreign countries -- Fiction, Impostors and imposture -- Fiction, Adventure stories"
96,The Monster Men,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE,lcsh,"Science fiction, Fantasy fiction"
