Clockwork Prince,"As the Council attempts to strip Charlotte of her power, sixteen-year-old orphaned shapechanger Tessa Gray works with the London Shadowhunters to find the Magister and destroy his clockwork army, learning the secret of her own identity ...",Cassandra Clare
Clockwork Angel,"The Infernal Devices trilogy, a prequel to bestselling The Mortal Instruments trilogy, follows 16-year-old orphan Tessa Fell, whose quiet life is thrown into turmoil when her older brother Nathaniel suddenly vanishes, leaving her alone.",Cassandra Clare
The Bane Chronicles,"A collection of eleven short stories, previously published online, that illuminate the life of the enigmatic, flashy, and flamboyant High Warlock of Brooklyn, Magnus Bane, a character in The Mortal Instruments series.","Cassandra Clare,Sarah Rees Brennan,Maureen Johnson"
The Answers,"From a writer whose debut was hailed as one of the literary events of 2014 comes a novel of die-hard faith and fleeting love; of questions which probe the depths of our society, and answers that will leave you reeling.",Catherine Lacey
House. Tree. Person,The body found in a muddy grave across the street is just the latest horror threatening to tear Ali McGovern&#39;s life apart seam by seam.,Catriona McPherson
Little Fires Everywhere,&quot;Traces the intertwined fates of the picture-perfect Richardson family and the enigmatic mother and daughter who upend their lives&quot;--,Celeste Ng
Everything I Never Told You,"I implore you to read this. Also my favourite ending of a novel so far this year&#39; &#39;This is the best book I have read this year&#39; &#39;Really enjoyed this book, deeply moving, sad and thought provoking&#39;",Celeste Ng
Dead in the Family,The SUNDAY TIMES No. 1 bestseller.,Charlaine Harris
Interior Chinatown,"Every day Willis Wu leaves his tiny room in a Chinatown SRO and enters the Golden Palace restaurant, where Black and White, a procedural cop show, is in perpetual production.",Charles Yu
The Unpassing,"Shortlisted for the Center for Fiction&#39;s First Novel Prize. One of Entertainment Weekly&#39;s 10 Best Debut Novels of 2019. Named one of the Best Books of 2019 by TIME, The Washington Post, and Esquire.",Chia-Chia Lin
We Should All be Feminists,"Offers an updated definition of feminism for the twenty-first century, one rooted in inclusion and awareness.",Chimamanda Ngozi Adichie
Americanah,"Fearless, gripping, spanning three continents and numerous lives, the National Book Critics Circle Award-winning &#39;Americanah&#39; is a richly told story of love and expectation set in today&#39;s globalized world.",Chimamanda Ngozi Adichie
The Immortalists,"It is a deeply moving testament to the power of story, the nature of belief, and the unrelenting pull of familial bonds.",Chloe Benjamin
Orphan Train,"Molly is about to discover -- as she and Vivian unpack her possessions, and memories -- that Vivian’s story is a piece of America’s tumultuous history now largely forgotten: the tale of a young Irish immigrant, orphaned in New York City ...",Christina Baker Kline
Beautiful Bastard,"A rewritten formal publication of the popular online story, The Office, traces the love affair between exacting office manager Bennett and his hard-working MBA student assistant, Chloe, whose irresistible mutual attraction prompts them to ...",Christina Lauren
Make Russia Great Again,"With hilarious jabs at the biggest world leaders and Washington politics overall, Make Russia Great Again is a timely political satire from “one of the funniest writers in the English language” (Tom Wolfe).",Christopher Buckley
Inheritance,The young Dragon Rider Eragon must finally confront the evil king Galbatorix to free Alagaesia from his rule once and for all.,Christopher Paolini
Pond,"&quot;A tour de force fiction debut, darkly humorous and utterly original, in which the habits and observations of a solitary young woman illuminate her inner life with uncanny, irresistible intimacy&quot;--",Claire-Louise Bennett
I Let You Go,"At the same time, the novel tracks the pair of Bristol police investigators trying to get to the bottom of this hit-and-run.",Clare Mackintosh
Nov-09,"Fallon meets Ben, an aspiring novelist, the day before her scheduled cross-country move.",Colleen Hoover
Ugly Love,"After Tate Collins and airline pilot Miles Archer agree to a no-strings attached relationship, they both have trouble sticking to the plan.",Colleen Hoover
Maybe Someday,"When she discovers that her boyfriend is cheating on her, Sydney, a 22-year-old college student, must decide what to do next, especially when she becomes captivated by her mysterious neighbor Ridge. Original.",Colleen Hoover
Losing Hope,"In Losing Hope, readers will learn what was going on inside Holder&#39;s head during all those moments that left him feeling hopeless and see whether he can perhaps gain the peace he desperately needs&quot;--",Colleen Hoover
Hopeless,"To read this book is to love it&#39; - Gem &#39;Fantastic sotryline, fantastic characters, gripping read and overall a great book&#39; - Gail &#39;Colleen Hoover has draws you in, makes you love the characters and then turns your emotions upside down and ...",Colleen Hoover
Never Never,"&quot;Twisted, sickly wicked, yet warming with a deep-layered love story. Tarryn and Colleen combine their forces for good. Alone they are talented. Together this epic duo is unstoppable.&quot; ~Pam, The Book Avenue.","Colleen Hoover,Tarryn Fisher"
The Nickel Boys,Follows the experiences of two African-American teenagers at an abusive reform school in Jim Crow-era Florida.,Colson Whitehead
The Underground Railroad,"The Newest Oprah Book Club 2016 Selection From prize-winning, bestselling author Colson Whitehead, a magnificent tour de force chronicling a young slave&#39;s adventures as she makes a desperate bid for freedom in the antebellum South Cora is a ...",Colson Whitehead
The Daughters of Erietown,"Hidden desires and long-held secrets, the sacrifices people make to realize their dreams is at the heart of this powerful first novel about a working class family in Ohio.",Connie Schultz
If You Leave Me,"“An immersive, heartbreaking story about war, passion, and the road not taken.” — People &quot;One of the most beautiful and moving love stories you’ll read this year.&quot; — Nylon Magazine NAMED ONE OF THE BEST BOOKS OF 2019 BY The ...",Crystal Hana Kim
Rodham,"Uncannily astute and witty in the telling, Rodham is a brilliant reimagining - an unmissable literary landmark and truly a novel of our times. WHAT IF HILLARY RODHAM HAD TURNED DOWN BILL CLINTON&#39;S PROPOSAL OF MARRIAGE?",Curtis Sittenfeld
"You Think It, I'll Say It","Lauded as a sharp chronicler of the modern age who humanizes her subjects even as she skewers them, Curtis Sittenfeld showcases her talents in this first collection of short fiction.",Curtis Sittenfeld
