Prince of Thorns,"After witnessing the murder of his mother and brother and leading a band of bloodthirsty thugs, Prince Honorous Jorg Ancrath returns to his father&#39;s castle and his birthright, but faces treachery and dark magic once he arrives.",Mark Lawrence
"Black Leopard, Red Wolf","Hired to find a mysterious boy who disappeared three years before, Tracker joins a search party that follows the boy&#39;s trail through ancient cities and into dense forests, and encounter creatures intent on destroying them.",Marlon James
The Mirror Thief,"One of the most audacious and confident debuts in years, The Mirror Thief is a masterful puzzle: a genre-hopping novel that combines a layered, rewarding mystery with serious literary ambition.",Martin Seay
The Kiss of Deception,"A debut entry in a new trilogy by the author of the Jenna Fox Chronicles introduces Princess Lia, who flees an unwanted marriage and expectations about her supernatural legacy only to be pursued by her jilted fiancé and a ruthless assassin ...",Mary E. Pearson
The Good Girl,"Born to a prominent Chicago judge and his stifled socialite wife, Mia Dennett moves against the grain as a young inner-city art teacher.",Mary Kubica
I Miss You When I Blink,"Philpott has a wonderful way of finding humor, even in darker moments. This is a book you’ll want to buy for yourself and every other woman you know” (Real Simple).",Mary Laura Philpott
Heartbreaker,"&quot;In her debut story collection, Heartbreaker, Maryse Meijer, flashlight in hand, goes deep into the darkest rooms of the psyche.",Maryse Meijer
A Tree Or a Person Or a Wall,"A Tree or a Person or a Wall brings together Bell&#39;s previously published shorter fiction--the story collection How They Were Found and the acclaimed novella Cataclysm Baby--along with seven dark and disturbing new stories, to create a ...",Matt Bell
Lanny,"With Lanny, Max Porter extends the potent and magical space he created in Grief Is the Thing with Feathers. This brilliant novel will ensorcell readers with its anarchic energy, with its bewitching tapestry of fabulism and domestic drama.",Max Porter
The Female Persuasion,"It&#39;s a story about the people who guide and the people who follow (and how those roles evolve over time), and the desire within all of us to be pulled into the light.",Meg Wolitzer
A Burning,"In this National Book Award Longlist honoree and &quot;gripping thriller with compassionate social commentary&quot; (USA Today), Jivan is a Muslim girl from the slums, determined to move up in life, who is accused of executing a terrorist attack on a ...",Megha Majumdar
The Pisces,"Bottoming out after a dramatic breakup, doctoral student Lucy accepts her sister&#39;s invitation to dog-sit at her home on Venice Beach for the summer, where she meets an eerily attractive swimmer whose Sirenic identity transforms her ...",Melissa Broder
Glory Days,"The novel &quot;Glory Days&quot; combines gritty realism with magical elements as Melissa Fraterrigo masterfully interweaves a slate of arresting characters from a small, former farming town in Nebraska who must grapple with loss, life, and death.",Melissa Fraterrigo
Moonglow,NEW YORK TIMES BESTSELLER Winner of the Sophie Brody Medal • An NBCC Finalist for 2016 Award for Fiction • ALA Carnegie Medal Finalist for Excellence in Fiction • Wall Street Journal’s Best Novel of the Year • A New York Times ...,Michael Chabon
Warlight,"&#39;Our book of the year - and maybe of Ondaatje&#39;s career&#39; Daily Telegraph Books of the Year **LONGLISTED FOR THE MAN BOOKER PRIZE 2018** An elegiac, dreamlike novel set in post-WW2 London about memory, family secrets and lies, from the ...",Michael Ondaatje
The Unbecoming of Mara Dyer,Mara Dyer doesn&#39;t think life can get any stranger.,Michelle Hodkin
Pachinko (National Book Award Finalist),"From bustling street markets to the halls of Japan&#39;s finest universities to the pachinko parlors of the criminal underworld, Lee&#39;s complex and passionate characters--strong, stubborn women, devoted sisters and sons, fathers shaken by moral ...",Min Jin Lee
Why Not Me?,"Mindy has put the anxieties, the glamour and the celebrations of her second coming-of-age into this book, to which anyone can relate. (And, if they can&#39;t, they can skip to the parts where she talks about meeting Bradley Cooper.)",Mindy Kaling
Feed,"Now, twenty years after the Rising, Georgia and Shaun Mason are on the trail of the biggest story of their lives-the dark conspiracy behind the infected. The truth will out, even if it kills them.",Mira Grant
Exit West,"&quot;In a country teetering on the brink of civil war, two young people meet--sensual, fiercely independent Nadia and gentle, restrained Saeed.",Mohsin Hamid
Since You've Been Gone,"&#39;Some books leave a very real mark on you and Since You&#39;ve Been Gone is one of those utterly brilliant books&#39; - The Guardian &#39;A winning blend of touching moments, memorable characters and situational humor takes readers to a surprising ...",Morgan Matson
Amy & Roger's Epic Detour,There were three things Amy Curry didn’t expect out of senior year.,Morgan Matson
The Fifth Season,&quot;Intricate and extraordinary.&quot; - New York Times on The Fifth Season (A New York Times Notable Book of 2015) WINNER OF THE HUGO AWARD FOR BEST NOVEL 2016 This is the way the world ends...for the last time. A season of endings has begun.,N. K. Jemisin
The Hundred Thousand Kingdoms,"In this brilliantly original debut fantasy, a young woman becomes entangled in a power struggle of mythic proportions.",N. K. Jemisin
Uprooted,"Praise for Uprooted &quot;Uprooted has leapt forward to claim the title of Best Book I&#39;ve Read Yet This Year. . . . Moving, heartbreaking, and thoroughly satisfying, Uprooted is the fantasy novel I feel I&#39;ve been waiting a lifetime for.",Naomi Novik
Seveneves,SCIENCE FICTION. The astounding new novel from the master of science fiction. THE EARTH WAS A TICKING TIME BOMB. To ensure the survival they had to look beyond its atmosphere. So they became pioneers.,Neal Stephenson
Trigger Warning,"Multiple award winning, #1 New York Times bestselling author Neil Gaiman returns to dazzle, captivate, haunt, and entertain with this third collection of short fiction following Smoke and Mirrors and Fragile Things—which includes a never ...",Neil Gaiman
The Ocean at the End of the Lane (Illustrated Edition),"It began for our narrator forty years ago when the family lodger stole their car and committed suicide in it, stirring up ancient powers best left undisturbed.",Neil Gaiman
Safe Haven,"Eventually, though, Katie realizes that a choice must be made between a life of transient safety and one of riskier rewards ... and that in the darkest hour, love is the only true safe haven.",Nicholas Sparks
The Best of Me,This is the story of two small-town former high school sweethearts from opposite sides of the tracks.,Nicholas Sparks
Cherry,"Hammered out on a typewriter, Cherry marks the arrival of a raw, bleakly hilarious, and surprisingly poignant voice straight from the dark heart of America&quot;--",Nico Walker
"Everything, Everything",&#39;Can&#39;t wait to see this! Absolutely loved the book&#39; - Zoella Maddy is allergic to the world; stepping outside the sterile sanctuary of her home could kill her. But then Olly moves in next door.,Nicola Yoon
Here Comes the Sun,"From a much-heralded new writer, Here Comes the Sun offers a dramatic glimpse into a vibrant, passionate world most outsiders see simply as paradise.&quot;--",Nicole Dennis-Benn
Nimona,"Nimona is an impulsive young shapeshifter with a knack for villainy. Lord Ballister Blackheart is a villain with a vendetta. As sidekick and supervillain, Nimona and Lord Blackheart are about to wreak some serious havoc.",Noelle Stevenson
On Earth We're Briefly Gorgeous,&quot;On Earth We&#39;re Briefly Gorgeous is a letter from a son to a mother who cannot read.,Ocean Vuong
Flights,"Ambitious and complex.&quot; --Washington Post From the incomparably original Polish writer Olga Tokarczuk, Flights interweaves reflections on travel with an in-depth exploration of the human body, broaching life, death, motion, and migration.",Olga Tokarczuk
Crudo,Anyway -- Knots -- Swimming in the air -- Not you -- Papers and paints,Olivia Laing
My Year of Rest and Relaxation,"Blackly funny, both merciless and compassionate - dangling its legs over the ledge of 9/11 - My Year of Rest and Relaxation is a showcase for the gifts of one of America&#39;s major young writers.",Ottessa Moshfegh
Homesick for Another World,"&quot;In 14 ... stories, Moshfegh examines characters and situations too weird to be real and too real to be fiction, with themes of alienation, ennui, displacement, sexual neuroses, and addiction&quot;--",Ottessa Moshfegh
"My Sister, the Serial Killer","&quot;Originally published in Nigeria, in different form, as an ebook entitled Thicker than water by Qamina, Lagos, in 2017&quot;--Title page verso.",Oyinkan Braithwaite
Burned,"As Zoey&#39;s fate hangs in the balance, her friends must figure out how to bring her back from the Otherworld while coping with serious problems of their own.","P. C. Cast,Kristin Cast"
The Silence of the Girls,"When the Greek Queen Helen is kidnapped by Trojans, the Greeks sail in pursuit, besieging the city of Troy.",Pat Barker
French Exit,"Bestselling author Patrick deWitt has returned with a darkly comic novel, a one-of-a-kind “tragedy of manners.” Brimming with pathos, French Exit is a brilliant send-up of high society, as well as a moving mother-son caper that only ...",Patrick deWitt
A Monster Calls,"The bestselling novel and major film about love, loss and hope from the twice Carnegie Medal-winning Patrick Ness.Conor has the same dream every night, ever since his mother first fell ill, ever since she started the treatments that don&#39;t ...","Patrick Ness,Siobhan Dowd"
The Slow Regard of Silent Things,"Living in the abandoned tunnel system beneath the University, the enigmatic Auri reflects on her bittersweet life while making unique observations about the broken world she would survive.",Patrick Rothfuss
Run Me to Earth,"Paul Yoon’s “greatest skill lies in crafting subtle moments that underline the strange and specific sadness inherent to trauma” (Time) and this book is a breathtaking historical feat and a fierce study of the powers of hope, ...",Paul Yoon
The Girl on the Train,In een stadje bij Londen raakt een vrouw betrokken bij de verdwijning van een andere vrouw.,Paula Hawkins
Love and Ruin,"&quot;A novel about [Ernest Hemingway&#39;s] passionate, stormy marriage to Martha Gellhorn-- a fiercely independent, ambitious young woman who would become one of the greatest war correspondents of the twentieth century .",Paula McLain
The Paris Wife,"Follows the life of Ernest Hemingway&#39;s first wife, Hadley, as she navigates 1920s Paris. By the author of A Ticket to Ride. Reprint.",Paula McLain
You May See a Stranger,"Miranda Weber is a hot mess. In Paula Whyman’s debut collection of stories, we find her hoarding duct tape to ward off terrorists, stumbling into a drug run with a crackhead, and—frequently—enduring the bad behavior of men.",Paula Whyman
Simon the Fiddler,"&quot;In March 1865, the long and bitter War between the States is winding down.",Paulette Jiles
The Kind Worth Killing,"Delayed in London, Ted Severson meets a woman at the airport bar.",Peter Swanson
Golden Son,"As a Red, Darrow grew up working the mines deep beneath the surface of Mars, enduring backbreaking labor while dreaming of the better future he was building for his descendants.",Pierce Brown
Red Rising,"A tale set in a bleak future society torn by class divisions follows the experiences of secret revolutionary Darrow, who after witnessing his wife&#39;s execution by an oppressive government joins a revolutionary cell and attempts to infiltrate ...",Pierce Brown
Orange is the New Black,"Follows the author&#39;s incarceration for drug trafficking, during which she gained a unique perspective on the criminal justice system and met a varied community of women living under exceptional circumstances.",Piper Kerman
I Am Number Four,John Smith is not your average teenager.,Pittacus Lore
The Elephant Tree,"Reminiscent of Irvine Welsh’s Trainspotting, this debut novel, The Elephant Tree challenges the reader’s sense of morality with shocking plot twists and vivid characters.Mark Fallon is an overworked detective investigating a spate of ...",R. D. Ronald
Wonder,"Born with a facial deformity that initially prevented his attendance at public school, Auggie Pullman enters the fifth grade at Beecher Prep and struggles with the dynamics of being both new and different, in a sparsely written tale about ...",R. J. Palacio
The Incendiaries,"Haunting and intense, The Incendiaries is a fractured love story that explores what can befall those who lose what they love most.",R. O. Kwon
Hex Hall: Spellbound,Ever since she started at Hectate &quot;Hex&quot; Hall a school for &quot;gifted&quot; students Sophie Mercer&#39;s life has been a whirlwind of disasters.,Rachel Hawkins
The Music Shop,"Originally published: London: Doubleday, 2017.",Rachel Joyce
"Goodbye, Vitamin","Named a Best Book of the Year by NPR, O, The Oprah Magazine, Vogue, San Francisco Chronicle, Esquire, Huffington Post, Nylon, Entertainment Weekly, Buzzfeed, Booklist, and The Independent Winner of the California Book Award for First ...",Rachel Khong
The Girl of Fire and Thorns,"Once a century, one person is chosen for greatness.",Rae Carson
Carry On,"Based on the characters Simon and Baz who featured in Rainbow Rowell&#39;s bestselling Fangirl, Carry On is a ghost story, a love story, a mystery and a melodrama.",Rainbow Rowell
Landline,"Landline asks if two people are ever truly on the same path, or whether love just means finding someone who will keep meeting you halfway, no matter where you end up.",Rainbow Rowell
Fangirl,"Being consummate fans of the Simon Snow series helped Cath and her twin sister, Wren, cope as little girls whose mother left them, but now, as they start college but not as roommates, Cath fears she is unready to live without Wren holding ...",Rainbow Rowell
Eleanor & Park,"&quot;Set over the course of one school year in 1986, this is the story of two star-crossed misfits--smart enough to know that first love almost never lasts, but brave and desperate enough to try&quot;--",Rainbow Rowell
Attachments,A heartwarming and hilarious romantic debut about falling in love from afar.,Rainbow Rowell
Hollow City,"In 1940, Jacob and his new friends escape from Miss Peregrine&#39;s island and travel to London where they encounter new allies, a menagerie of peculiar animals, and other unexpected surprises.",Ransom Riggs
Miss Peregrine's Home for Peculiar Children,"After a family tragedy, Jacob feels compelled to explore an abandoned orphanage on an island off the coast of Wales, discovering disturbing facts about the children who were kept there.",Ransom Riggs
The Great Believers,"The two intertwining stories take us through the heartbreak of the eighties and the chaos of the modern world, as both Yale and Fiona struggle to find goodness in the midst of disaster&quot;",Rebecca Makkai
The Immortal Life of Henrietta Lacks,"Over the decade it took to uncover this story, Rebecca became enmeshed in the lives of the Lacks family—especially Henrietta’s daughter Deborah, who was devastated to learn about her mother’s cells.",Rebecca Skloot
The Travelers,"Written with piercing humor, exacting dialogue, and a beautiful sense of place, Regina Porter&#39;s debut is both an intimate family portrait and a sweeping exploration of what it means to be American today.",Regina Porter
The Wrath & the Dawn,"In this reimagining of The Arabian Nights, Shahrzad plans to avenge the death of her dearest friend by volunteering to marry the murderous boy-king of Khorasan but discovers not all is as it seems within the palace.",Renée Ahdieh
Only Child,"Surviving a horrific school shooting, a six-year-old boy retreats into the world of books and art while making sobering observations about his mother&#39;s determination to prosecute the shooter&#39;s parents and the wider community&#39;s efforts to ...",Rhiannon Navin
Bloodlines,Sydney protects vampire secrets - and human lives.,Richelle Mead
Vampire Academy 05. Spirit Bound,"Although Dimitri has become an evil vampire, his true love Rose and her best friend Lissa are determined to find him and restore his soul",Richelle Mead
Last Sacrifice,"Framed for the murder of Queen Tatiana, bodyguard Rose faces the trial of her life as best friend Lissa, a vampire princess, becomes first in line for the royal throne.",Richelle Mead
The Sword of Summer,"Magnus Chase, a homeless boy living in Boston, finds out he is the son of a Norse god.",Rick Riordan
The Blood of Olympus,"Though the Greek and Roman crew members of the Argo II have made progress in their many quests, they still seem no closer to defeating the earth mother, Gaea.",Rick Riordan
The House of Hades,The penultimate book in the &#39;Heroes of Olympus&#39; series.,Rick Riordan
The Heroes of Olympus - Book Three: Mark of Athena,"The third book in the Heroes of Olympus series will unite them with Jason, Piper, and Leo. But they number only six--who will complete the Prophecy of Seven?",Rick Riordan
The Son of Neptune,"The SECOND title in this number one, bestselling spin-off series from Percy Jackson creator, Rick Riordan.",Rick Riordan
"The Kane Chronicles, The, Book Two: Throne of Fire","In this exciting second installment of the three-book series, Carter and Sadie, offspring of the brilliant Egyptologist Dr. Julius Kane, embark on a worldwide search for the Book of Ra, but the House of Life and the gods of chaos are ...",Rick Riordan
The Lost Hero,"Jason, Piper, and Leo, three students from a school for &quot;bad kids,&quot; find themselves at Camp Half-Blood, where they learn that they are demigods and begin a quest to free Hera, who has been imprisoned by Mother Earth herself.",Rick Riordan
"The Kane Chronicles, Book One The Red Pyramid (new cover)","If you haven&#39;t yet read the Kane Chronicles, Rick Riordan&#39;s action-adventure trilogy based on Ancient Egyptian mythology, don&#39;t miss this paperback edition with new cover art and a Percy Jackson-Kane Chronicles crossover story, &quot;The Son of ...",Rick Riordan
The Infinite Sea,"I couldn&#39;t turn the pages fast enough.”—Justin Cronin,The New York Times Book Review “Nothing short of amazing.”—Kirkus Reviews (starred review) “Gripping!”—Publishers Weekly (starred review) “Everyone I trust is telling ...",Rick Yancey
The 5th Wave,"&quot;--Justin Cronin, The New York Times Book Review An Amazon Best Book of the Year A New York Times bestseller A USA Today bestseller Winner of the 2014 Red House Children&#39;s Book Award 2014 Children&#39;s Choice Book Awards Finalist for Teen Book ...",Rick Yancey
The Silkworm,"The novelist has just completed a manuscript featuring poisonous pen-portraits of almost everyone he knows. If the novel were to be published, it would ruin lives--meaning that there are a lot of people who might want him silenced.",Robert Galbraith
The Cuckoo's Calling,"A remarkable debut - a classic crime novel in the tradition of Christie, James, and Rendell.","Robert Galbraith,Joanne Kathleen Rowling"
Towers of Midnight,"As the seals on the Dark One&#39;s prison crumble and the armies of the Shadow boil out of the Blight, Perrin Aybara, hunted by specters from his past, must seek answers in &quot;Tel&#39;aran&#39;rhiod&quot; and find a way to master the wolf within him--or lose ...","Robert Jordan,Brandon Sanderson"
Girls on Fire,"By turns a shocking story of love and violence and an addictive portrait of the intoxication of female friendship, set against the unsettled backdrop of a town gripped by moral panic, Girls on Fire is an unflinching and unforgettable ...",Robin Wasserman
Difficult Women,"&quot;A collection of stories of ... hardscrabble lives, passionate loves, and quirky and vexed human connection&quot;--",Roxane Gay
Bad Feminist,"Bad Feminist is a sharp, funny, and spot-on look at the ways in which the culture we consume becomes who we are, and an inspiring call-to-arms of all the ways we still need to do better, coming from one of our most interesting and important ...",Roxane Gay
Leave the World Behind,"Amanda and Clay head to a remote corner of Long Island expecting a vacation: a quiet reprieve from life in New York City, quality time with their teenage son and daughter, and a taste of the good life in the luxurious home they&#39;ve rented ...",Rumaan Alam
That Kind of Mother,"With the same warmth and psychological acuity that defined his debut, Rumaan Alam has crafted a remarkable novel about the families we fight to build and those we fight to keep.",Rumaan Alam
Milk and Honey,"#1 New York Times bestseller Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity.",Rupi Kaur
Between Shades of Gray,"In 1941, fifteen-year-old Lina is preparing for art school, first dates, and all that summer has to offer.",Ruta Sepetys
A Tale for the Time Being,A novelist on a remote island in the Pacific is linked to a bullied and depressed Tokyo teenager after discovering a Hello Kitty lunchbox that washed ashore.,Ruth L. Ozeki
"In a Dark, Dark Wood","&quot;What should be a cozy and fun-filled weekend deep in the English countryside takes a sinister turn in Ruth Ware&#39;s suspenseful, compulsive, and darkly twisted psychological thriller.",Ruth Ware
Before I Go to Sleep,An amnesiac attempts to reconstruct her past by keeping a journal and discovers the dangerous inconsistencies in the stories of her husband and her secret doctor.,S. J. Watson
The Grand Design,"The best-selling author of A Brief History of Time presents a new study of the cosmos that will blow peoples&#39; minds, presented in clear, concise language this is easy to understand.","S. Stephen W. Hawking,Leonard Mlodinow"
The Djinn,"&quot;Indelbed is a lonely kid living in a crumbling mansion in the super dense, super chaotic third world capital of Bangladesh.",Saad Z. Hossain
An Ember in the Ashes,&quot;Laia is a Scholar living under the iron-fisted rule of the Martial Empire.,Sabaa Tahir
Normal People,"But when the two strike up a conversation - awkward but electrifying - something life-changing begins. Normal People is a story of mutual fascination, friendship and love.",Sally Rooney
The Dark Dark,"Wonderfully spooky&#39; Jia Tolentino, The New Yorker &#39;A feminist manifesto threaded through imaginative fiction; it&#39;s the most evocative, impressive collection I&#39;ve read this year&#39; Daniel Johnson, The Paris Review Step into The Dark Dark, ...",Samantha Hunt
On Dublin Street,Stars Over Castle Hill is an alternative reality novella of the #1 international bestselling romance On Dublin Street. Valentine: An On Dublin Street Novella Joss &amp; Braden. Ellie &amp; Adam. Jo &amp; Cam. Olivia &amp; Nate. Hannah &amp; Marco.,Samantha Young
At the Water's Edge,A gripping and poignant love story about a privileged young woman&#39;s personal awakening as she experiences the devastations of World War II in a Scottish Highlands village.,Sara Gruen
Snow Like Ashes,"A striking fantasy tale of dark magic, dangerous politics, and discovering your true self—perfect for fans of Game of Thrones, An Ember in the Ashes and A Court of Thorns and Roses.",Sara Raasch
A Court of Thorns and Roses,"Dragged to a treacherous magical land she only knows about from stories, Feyre discovers that her captor is not an animal, but Tamlin, a High Lord of the faeries.",Sarah J. Maas
Heir of Fire,The third and final book in the Throne of Glass series.,Sarah J. Maas
The Assassin's Blade,"An omnibus edition of the Tales of the Assassin prequel e-novellas follows Celanena&#39;s five daring missions and is complemented by a new novella, The Assassin and the Healer.",Sarah J. Maas
Crown of Midnight,"As the royal assassin to an evil king, eighteen-year-old Celaena Sardothien must decide what she will fight for--survival, love, or the future of a kingdom.",Sarah J. Maas
Throne of Glass,"After she has served a year of hard labor in the salt mines of Endovier for her crimes, Crown Prince Dorian offers eighteen-year-old assassin Celaena Sardothien her freedom on the condition that she act as his champion in a competition to ...",Sarah J. Maas
Queen of Shadows,Sarah J. Maas&#39;s New York Times bestselling Throne of Glass series reaches new heights in this sweeping fourth volume.,Sarah J. Mass
"Abraham Lincoln, Vampire Hunter","Grahame-Smith&#39;s revision of a Jane Austen classic blew readers&#39; minds and became an instant national bestseller. Now, the author of &quot;Pride and Prejudice and Zombies&quot; tackles one of America&#39;s greatest presidents.",Seth Grahame-Smith
Out of My Mind,&quot;This is an excellent and timely book which makes a major contribution to this branch of science. It brings together information about the workings of hormones that control almost every aspect of insect physiology.,Sharon M. Draper
Arias,"Following her recent Odes, the Pulitzer Prize-winning poet offers a new collection of poems that sing of a woman&#39;s intimate life and political conscience.",Sharon Olds
A Cosmology of Monsters,"However, unlike them, Noah decides to let the creature in. . . . As he approaches the conclusion of his family&#39;s tale, it becomes more and more apparent that there&#39;s only one way the story can end: with Noah making the ultimate sacrifice.",Shaun Hamill
Girls Burn Brighter,"&quot;Poornima and Savitha have three strikes against them: they are poor, they are ambitious, and they are girls.",Shobha Rao
Mexican Gothic,"From the author of Gods of Jade and Shadow comes a reimagining of the classic gothic suspense novel, a story about an isolated mansion in 1950s Mexico--and the brave socialite drawn to its treacherous secrets.",Silvia Moreno-Garcia
Nights When Nothing Happened,"Set during the early aughts, Nights When Nothing Happened is gripping storytelling immersed in the cross-currents that have reshaped the American landscape, from a prodigious new literary talent&quot;--",Simon Han
Finding Audrey,Fourteen-year-old Audrey is making slow but steady progress dealing with her anxiety disorder when Linus comes into the picture and her recovery gains momentum.,Sophie Kinsella
I've Got Your Number,"After she loses her engagement ring and her phone is stolen during a hotel fire drill, Poppy Wyatt, discovering an abandoned phone in a trash can, crashes into the life of the phone&#39;s owner, businessman Sam Roxton, when she uses his phone ...",Sophie Kinsella
Cleopatra,"Her palace shimmered with onyx and gold but was richer still in political and sexual intrigue. Above all else, Cleopatra was a shrewd strategist and an ingenious negotiator. She was married twice, each time to a brother.",Stacy Schiff
Sweetbitter,&quot;A year in the life of a young woman who comes to New York to discover herself&quot;--,Stephanie Danler
Isla and the Happily Ever After,"Isla&#39;s had a crush on classmate Josh since their freshman year at the School of America in Paris, but after a chance encounter over the summer in Manhattan they return to France for their senior year where they&#39;re forced to confront ...",Stephanie Perkins
Lola and the Boy Next Door,"Lola lives an extraordinary life in San Francisco with her two dads and beloved dog, but when the Bells return to the house next door Lola recalls both the friendship-ending fight with Calliope and the crush she had on Cricket.",Stephanie Perkins
Anna and the French Kiss,"When Anna&#39;s father sends her to an American boarding school in Paris for her senior year of high school, she reluctantly goes, and meets a boy who becomes her best friend, in spite of the fact that they both want something more.",Stephanie Perkins
Finders Keepers,"A follow-up to Mr. Mercedes follows the experiences of an irate fan whose obsession with a reclusive writer leads to an act of violence, the discovery of a hidden manuscript decades later and a young boy&#39;s desperate struggle for survival.",Stephen King
Mr. Mercedes,"A cat-and-mouse suspense thriller featuring a retired homicide detective who&#39;s haunted by the few cases he left open, and by one in particular - the pre-dawn slaughter of eight people among hundreds gathered in line for the opening of a ...",Stephen King
Doctor Sleep,"After decades as an itinerant alcoholic, middle-aged Dan Torrance uses his remnant powers to assist the dying before coming to the aid of a twelve-year-old girl being tortured by a tribe of murderous paranormals.",Stephen King
Joyland,"In a small-town North Carolina amusement park in 1973, college student Devin Jones comes to work as a carny and confronts the legacy of a vicious murder, the fate of a dying child and the ways both will change his life forever. Original.",Stephen King
11/22/63,"Receiving a horrific essay from a GED student with a traumatic past, high-school English teacher Jake Epping is enlisted by a friend to travel back in time to prevent the assassination of John F. Kennedy, a mission for which he must ...",Stephen King
"Full Dark, No Stars","A volume of four previously unpublished short works includes &quot;1922,&quot; in which a man explores his dark nature; &quot;Big Driver,&quot; in which a writer confronts a stranger; &quot;Fair Extension,&quot; in which a cancer patient makes a deal with the devil; and ...",Stephen King
The Invention of Wings,"&quot;The story follows Hetty &quot;Handful&quot; Grimke, a Charleston slave, and Sarah, the daughter of the wealthy Grimke family. The novel begins on Sarah&#39;s eleventh birthday, when she is given ownership over Handful, who is to be her handmaid.",Sue Monk Kidd
Angelfall,"Listed as one of Time Magazine&#39;s 100 Best Fantasy Books of All Time &#39;An explosive, pulse-pounding journey&#39; - Star &#39;The new Young Adult fantasy phenomenon&#39; - Grazia It&#39;s been six weeks since the angels of the apocalypse destroyed the world ...",Susan Ee
Piranesi,"Within the labyrinth of halls an ocean is imprisoned; waves thunder up staircases, rooms are flooded in an instant. But Piranesi is not afraid; he understands the tides as he understands the pattern of the labyrinth itself.",Susanna Clarke
White Ivy,"MORE PRAISE FOR THIS SPELLBINDING DEBUT NOVEL: &#39;It&#39;s a testament to Susie Yang&#39;s skill that she can explore and upend our ideas of class, race, family, and identity while moving us through a plot that twists in such wonderful ways.",Susie Yang
Mockingjay,Two-time Hunger Games survivor Katniss Everdeen is targeted by a vengeful Capitol that vows to make Katniss and all of District 12 pay for the current unrest.,Suzanne Collins
Gabriel's Inferno,"Gabriel Emerson, a professor who specializes in Dante, is drawn to a young graduate student, Julia Mitchell, whom he idolizes, but both must face secrets from their past before they can pursue their mutual attraction.",Sylvain Reynard
Entwined with You,"Continues the saga of Gideon and Eva, whose passionate bond is put to an ultimate test by torments from their respective pasts.",Sylvia Day
Reflected in You,ROMANCE. The first four intensely sensual Crossfire novels by bestselling author Sylvia Day.,Sylvia Day
Bared to You,"Eva Trammel, plagued by her own insecurities, is drawn into an intense, obssessive relationship with the wealthy and arrogant Gideon Cross.",Sylvia Day
Long Live the Tribe of Fatherless Girls,"An utterly gorgeous debut.”-Lauren Groff One of the most anticipated books of 2019--Electric Literature, Entertainment Weekly, Huffington Post, BuzzFeed, The Millions, Hyphen, Lit Hub, Nylon, The AV Club, The Advocate, The Rumpus, The ...",T Kira Madden
Ignite Me,&quot; Now this final book brings the series to a shocking and satisfying end. One day I might break One day I might break free Nothing will ever be the same. The fate of Omega Point is unknown.,Tahereh Mafi
Unravel Me,"Juliette has escaped to Omega Point, the headquarters of the rebel resistance and a safe haven for people with abilities like hers, and though she is finally free from The Reestablishment and their plans to use her as a weapon, Warner, her ...",Tahereh Mafi
Shatter Me,"In this electrifying debut, Tahereh Mafi presents a riveting dystopian world, a thrilling superhero story, and an unforgettable heroine.",Tahereh Mafi
Every Last Word,"&quot; -Kirkus Reviews &quot;This book is highly recommended-readers will connect with Sam, relating to her anxiety about her peers, and root for her throughout the book.",Tamara Ireland Stone
Easy,&#39;I took a deep breath and exhaled it slowly before turning around.,Tammara Webber
Between the World and Me,"Hailed by Toni Morrison as &quot;required reading,&quot; a bold and personal literary exploration of America&#39;s racial history by &quot;the single best writer on the subject of race in the United States&quot; (The New York Observer)#1 NEW YORK TIMES BESTSELLER ...",Ta-Nehisi Coates
An American Marriage,"&quot;Newlyweds Celestial and Roy, the living embodiment of the New South, are settling into the routine of their life together when Roy is sent to prison for a crime he didn&#39;t commit.",Tayari Jones
Exhalation,"From an award-winning science fiction writer (whose short story &quot;The Story of Your Life&quot; was the basis for the Academy Award-nominated movie Arrival), the long-awaited new collection of stunningly original, humane, and already celebrated ...",Ted Chiang
How to Be Safe,A Kirkus Reviews Best Book of the Year &quot;Explosive&quot; -Entertainment Weekly &quot;Scalding&quot; -The New Yorker &quot;One of the most highly acclaimed novels of the year thus far.&quot; -Bustle,Tom McAllister
Children of Blood and Bone,Tomi Adeyemi&#39;s Children of Blood and Bone conjures a stunning world of dark magic and danger in her #1 New York Times bestselling West African-inspired young adult fantasy debut.,Tomi Adeyemi
Private Citizens,"Capturing the anxious, self-aware mood of young college grads, the story&#39;s four whip-smart narrators, Cory, Will, Henrik, and Linda, are torn between fixing the world and cannibalizing it.",Tony Tulathimutte
A Darker Shade of Magic,"La 4ème de couv. indique : &quot;Kell is one of the last Travelers--magicians with a rare, coveted ability to travel between parallel universes--as such, he can choose where he lands.",V. E. Schwab
Vicious,"Ten years after an experiment designed to tap a human&#39;s supernatural abilities goes terribly wrong, Victor breaks out of prison and resolves to track down his former roommate, Eli, who resolves to eradicate the world&#39;s super-powered people.",V. E. Schwab
A Million Drops,"&quot;Gonzalo Gil is a lawyer stuck in a disaffected life, in a failed career, trying to dodge the constant manipulation of his powerful father.",Víctor del Árbol
A River of Stars,". . Without wading into policy debates, Ms Hua dramatises the stories and contributions of immigrants who believe in grand ideals and strive to live up to them.&quot;--The Economist",Vanessa Hua
